fg,fga,fg3,fg3a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts,finalpoints,wins,gp,oppfg,oppfga,oppfg3,oppfg3a,oppft,oppfta,opporb,oppdrb,oppast,oppstl,oppblk,opptov,opppf,opppts,oppfinalpoints,oppwins,oppgp
14,23,4,5,5,8,2,13,5,2,0,3,5,37,110,33,71,8,28,2,5,5,6,7,8,5,0,2,3,5,23,95,27,72
11,27,5,15,4,5,6,5,7,2,1,1,4,31,105,32,72,12,18,3,6,6,7,1,9,7,1,1,3,5,33,112,47,71
12,28,1,5,1,2,4,5,9,6,1,2,3,26,117,36,72,14,20,3,5,3,3,1,12,12,2,2,6,2,34,125,35,72
10,25,0,4,2,2,1,12,8,0,2,2,2,22,115,27,73,8,28,0,3,2,3,5,11,3,0,1,1,2,18,87,34,73
11,23,3,5,6,6,2,10,6,3,2,3,5,31,129,44,72,9,23,0,6,4,6,3,9,6,0,2,4,7,22,108,15,72
12,26,3,10,2,4,4,16,7,3,2,3,6,29,130,47,73,5,22,1,5,5,8,3,12,1,1,1,3,4,16,120,22,73
11,30,4,7,2,4,5,9,7,4,0,3,1,28,107,34,73,10,19,2,6,2,2,0,10,5,2,2,6,4,24,117,27,72
11,24,4,11,2,2,3,13,7,1,0,8,5,28,117,50,72,12,27,7,12,2,2,2,9,9,2,1,3,1,33,107,30,72
11,22,3,5,4,4,2,10,6,3,4,2,5,29,100,37,72,9,27,2,7,1,2,4,8,7,1,1,4,4,21,97,37,72
10,19,2,9,5,6,3,10,8,2,1,4,1,27,114,58,72,8,19,2,4,2,2,0,4,5,1,0,2,4,20,100,27,72
11,21,2,3,2,3,1,8,4,3,0,4,8,26,130,21,72,9,19,1,1,8,9,3,9,8,2,1,5,4,27,119,28,71
11,21,3,7,3,5,3,10,5,3,1,2,1,28,108,44,74,6,20,0,6,2,2,2,6,4,1,0,3,5,14,95,44,73
10,22,3,9,3,4,2,1,7,3,0,3,2,26,115,47,72,18,22,4,6,0,1,2,7,9,3,0,3,3,40,127,45,73
10,23,0,3,2,3,5,5,5,1,0,2,1,22,86,31,72,13,24,4,7,0,0,6,6,8,1,1,2,5,30,94,44,73
14,21,2,2,3,5,2,10,10,2,3,3,3,33,106,56,72,10,25,3,4,0,0,4,6,7,0,1,4,7,23,98,27,73
11,19,1,6,4,6,2,9,7,3,1,4,5,27,112,34,72,8,19,0,3,5,7,1,6,1,3,1,3,5,21,100,28,72
8,23,1,7,3,5,4,11,5,3,0,7,4,20,92,37,73,12,25,3,8,5,6,2,13,6,5,0,4,5,32,107,16,73
13,23,4,7,8,8,1,10,11,5,1,2,2,38,120,33,73,7,18,1,3,3,4,2,6,4,2,1,7,5,18,106,22,74
14,21,5,9,4,5,0,9,7,2,0,3,4,37,137,51,73,12,21,3,6,4,7,1,6,9,3,0,3,4,31,125,41,72
9,19,5,10,1,2,0,11,5,1,1,3,3,24,97,44,75,11,22,2,5,0,1,0,10,5,2,1,2,4,24,98,28,73
13,21,2,4,3,5,3,6,6,1,0,2,2,31,94,37,73,13,22,2,4,1,2,3,6,9,1,1,4,6,29,109,35,74
10,21,1,5,1,2,1,8,8,2,0,4,5,22,112,48,74,10,22,2,8,5,7,5,9,4,2,2,5,3,27,108,35,73
10,25,3,7,4,4,3,13,4,3,1,3,2,27,107,37,73,7,26,2,11,2,2,4,11,5,3,1,3,3,18,94,27,73
11,24,3,8,1,1,1,14,9,1,0,3,4,26,90,35,73,11,25,4,9,3,5,2,11,6,1,0,2,3,29,115,31,73
10,23,4,12,1,1,4,5,9,3,0,3,4,25,106,59,73,13,21,2,7,0,1,3,8,8,1,0,4,2,28,94,40,73
7,22,1,5,2,2,0,12,5,2,3,3,3,17,81,21,73,8,26,2,6,4,4,4,13,4,3,2,3,2,22,97,35,73
14,21,1,2,5,5,1,6,8,3,1,4,5,34,109,28,74,13,23,4,7,6,9,3,6,7,2,0,3,5,36,95,34,74
15,24,2,3,3,3,1,6,9,2,1,4,4,35,131,45,74,13,21,2,3,6,7,1,6,6,3,1,3,4,34,112,27,74
11,24,4,9,2,2,3,11,9,2,1,0,3,28,103,57,73,8,22,1,9,1,2,3,9,7,0,0,2,4,18,74,47,73
10,20,0,3,6,7,1,9,8,2,1,2,3,26,91,31,73,10,20,1,5,4,4,1,8,4,2,0,3,8,25,92,42,73
9,19,2,8,8,9,4,5,4,1,0,3,5,28,91,29,74,10,21,3,6,4,7,4,5,5,0,0,2,6,27,90,40,74
13,24,2,5,0,0,2,10,6,3,4,1,5,28,108,45,74,8,18,1,3,4,7,1,8,3,1,1,4,1,21,100,31,74
8,19,0,6,8,11,2,6,7,1,1,2,3,24,108,33,74,14,20,4,7,3,5,1,12,10,1,2,3,7,35,118,38,74
9,20,2,7,5,7,4,7,9,3,3,4,4,25,114,37,74,10,23,2,3,4,5,4,8,4,3,2,4,5,26,115,29,73
11,19,1,6,4,5,0,14,7,1,2,4,4,27,95,38,74,5,26,1,7,1,2,6,6,2,3,2,3,8,12,91,22,75
9,24,3,10,3,5,3,11,5,2,2,5,1,24,101,16,74,13,28,3,10,2,2,2,11,9,3,1,3,4,31,106,28,74
9,23,1,7,5,5,7,9,4,1,2,3,5,24,96,34,75,9,20,3,6,3,5,3,7,7,2,1,3,4,24,97,36,74
8,24,2,13,2,2,2,6,4,3,0,5,1,20,106,51,74,16,23,5,10,0,0,1,14,13,3,2,5,4,37,113,60,74
14,28,1,6,3,4,6,4,8,0,0,1,6,32,122,36,74,13,21,2,5,7,8,2,8,6,0,2,3,4,35,113,35,74
11,26,3,6,2,2,4,9,7,2,7,3,4,27,108,21,74,11,27,2,4,3,6,5,10,6,2,2,2,2,27,119,46,74
8,22,2,6,0,0,1,8,5,6,3,4,5,18,106,27,75,9,21,0,4,2,5,3,11,3,4,3,6,1,20,114,43,74
7,19,4,13,0,0,2,4,7,3,1,5,5,18,92,28,75,9,22,3,6,4,6,6,10,6,2,1,5,1,25,99,39,75
8,20,4,11,4,4,4,10,6,0,2,5,4,24,100,48,75,8,21,5,10,3,3,2,6,5,4,1,1,3,24,103,39,75
9,20,2,5,2,3,3,9,5,1,3,6,3,22,88,28,75,10,24,2,8,2,2,3,5,4,4,0,1,3,24,105,37,75
8,20,1,7,2,3,1,10,4,1,2,3,5,19,106,45,75,9,23,4,9,0,0,3,12,5,1,0,3,3,22,110,34,75
14,23,6,9,4,4,2,11,8,1,1,1,5,38,110,41,75,7,19,4,8,6,7,0,6,6,1,1,1,3,24,97,37,75
9,21,1,8,8,9,2,12,4,1,4,2,4,27,121,32,75,10,26,1,4,2,2,2,9,6,0,0,1,5,23,118,31,74
12,28,5,10,4,5,7,11,6,3,3,3,3,33,98,57,74,5,18,2,5,5,5,0,7,3,2,2,6,5,17,110,61,75
14,21,3,7,8,10,1,8,8,2,1,2,2,39,133,45,76,13,27,4,8,1,1,5,7,6,1,0,4,8,31,124,46,75
6,19,0,4,2,2,0,8,2,2,0,4,4,14,82,29,75,12,21,5,11,5,6,2,10,8,3,0,2,3,34,112,46,75
6,26,2,5,2,4,5,15,3,1,2,3,0,16,90,35,76,8,25,2,9,0,0,0,15,4,0,1,2,4,18,89,16,75
8,22,4,7,2,2,3,8,4,3,1,2,2,22,99,36,75,11,21,4,6,2,2,1,10,7,2,0,3,2,28,93,47,74
13,24,5,7,6,6,4,6,11,1,3,2,5,37,119,30,74,15,27,3,7,4,4,4,6,8,2,1,2,4,37,104,21,75
15,25,2,5,3,3,2,7,10,2,2,4,5,35,118,22,76,12,24,4,6,3,4,4,6,7,2,2,6,2,31,124,46,77
13,26,4,8,2,4,5,7,6,3,2,3,5,32,117,37,75,11,22,3,8,6,7,1,6,7,2,1,4,4,31,107,51,75
8,21,2,7,6,8,2,8,6,3,2,1,3,24,122,35,76,12,22,5,11,3,3,2,13,8,1,0,3,4,32,114,35,75
9,19,3,8,7,10,4,9,7,1,1,4,6,28,111,46,76,10,24,3,6,2,5,4,5,5,1,0,2,5,25,100,37,76
10,23,3,8,8,10,1,9,8,2,1,1,5,31,117,49,76,10,26,2,8,7,8,5,11,5,1,2,2,5,29,116,27,76
13,28,1,5,5,8,8,10,6,2,0,2,3,32,122,48,75,11,24,3,9,4,4,2,9,8,2,1,4,7,29,105,28,76
7,19,3,7,4,4,3,9,5,1,2,4,4,21,99,42,76,6,18,2,7,5,6,1,9,5,1,0,2,5,19,90,31,75
12,20,3,5,2,2,0,9,4,1,0,4,2,29,94,37,76,13,26,4,7,3,3,3,8,9,4,1,2,1,33,98,29,76
13,22,7,11,2,5,3,6,11,3,0,1,4,35,108,40,76,10,17,0,1,2,3,2,7,7,0,0,6,4,22,105,35,77
13,25,3,8,3,5,4,10,7,5,3,7,2,32,117,33,76,7,22,1,5,4,4,3,8,4,4,2,6,5,19,89,29,76
10,23,1,4,4,4,7,11,7,2,1,5,3,25,95,43,75,7,20,1,5,1,2,2,5,5,1,5,4,4,16,100,58,75
9,17,4,6,2,3,1,10,7,0,1,2,3,24,95,47,76,9,25,1,5,0,0,5,7,1,1,0,1,4,19,88,46,76
9,22,3,8,2,2,2,6,6,5,1,4,6,23,107,62,76,9,23,3,11,4,5,5,8,5,2,1,6,2,25,98,51,76
11,22,1,4,6,6,1,12,7,1,1,3,4,29,102,1,1,9,26,0,8,1,1,3,10,5,1,1,3,5,19,99,0,1
11,19,7,10,6,6,0,8,11,2,3,4,9,35,121,0,1,12,25,4,10,6,7,3,8,5,1,2,4,5,34,122,1,1
13,25,2,5,1,2,0,8,7,4,0,1,7,29,102,1,1,7,16,2,6,11,12,1,11,4,0,1,4,3,27,90,0,1
11,25,2,8,5,6,2,7,6,5,0,3,4,29,140,1,1,11,22,3,9,5,5,2,12,8,1,0,8,4,30,131,0,1
12,26,1,6,7,8,3,8,6,0,4,2,5,32,116,1,1,14,26,3,6,6,10,3,9,12,1,2,2,6,37,109,0,1
14,29,2,6,2,2,4,13,9,1,4,1,7,32,120,1,1,8,22,2,9,5,7,2,10,4,0,3,2,3,23,115,0,1
11,23,2,6,2,3,1,12,4,2,1,3,5,26,100,0,2,9,23,3,6,3,4,3,10,4,2,0,3,5,24,108,1,1
9,25,2,4,7,9,6,7,3,0,3,3,5,27,103,1,1,12,22,6,9,4,6,3,8,8,1,8,1,7,34,91,0,1
10,21,4,12,0,0,1,10,7,0,0,4,3,24,111,0,1,12,25,1,2,2,3,4,9,5,2,0,2,2,27,117,1,1
9,22,1,6,2,2,0,7,3,1,2,1,3,21,106,1,1,10,20,5,9,5,5,1,12,7,0,0,3,4,30,96,0,1
12,21,5,7,3,4,2,9,6,2,6,2,3,32,107,1,1,10,23,3,5,2,5,4,7,8,2,0,3,2,25,99,0,1
8,22,1,4,4,4,2,6,3,2,2,2,3,21,76,0,1,12,28,4,6,1,2,5,10,6,1,2,3,6,29,124,1,1
10,26,3,7,2,2,5,10,4,0,0,4,4,25,100,0,1,9,22,4,12,4,4,2,8,7,0,2,3,3,26,105,2,2
10,21,4,7,1,2,3,11,7,1,1,5,2,25,117,1,1,10,26,3,10,0,0,3,8,7,1,0,3,3,23,100,0,1
8,22,5,14,6,9,2,3,4,5,0,6,5,27,105,1,1,10,18,2,6,2,2,2,9,6,2,1,10,10,24,84,0,1
7,26,1,4,4,6,4,13,4,4,2,6,4,19,92,0,1,9,27,3,6,6,6,4,15,3,4,2,5,4,27,108,1,1
7,20,2,8,2,3,1,11,5,1,1,8,6,18,109,1,2,11,24,1,5,5,5,0,10,7,3,2,1,5,28,91,1,2
11,21,0,3,3,4,3,9,2,0,1,5,2,25,96,1,2,14,25,2,5,1,2,0,7,7,4,2,1,4,31,114,2,2
10,20,4,12,1,2,1,6,7,3,0,5,4,25,97,1,2,9,20,0,5,7,7,1,9,5,1,0,6,3,25,116,2,2
7,21,2,7,5,5,1,11,3,1,0,4,8,21,92,0,2,9,24,2,3,4,8,5,11,4,1,3,3,6,24,102,1,3
12,19,0,2,5,7,1,4,8,5,1,5,3,29,115,2,2,13,25,3,6,2,3,4,8,6,4,0,6,6,31,111,1,2
11,26,3,10,4,4,5,10,7,3,1,7,5,29,126,1,2,10,24,3,7,4,4,3,8,6,2,2,5,5,27,121,1,2
8,23,1,8,2,2,3,13,5,2,1,3,3,19,100,1,2,8,23,0,4,0,1,3,10,5,2,2,2,2,16,97,1,2
9,20,2,8,3,4,2,7,7,2,2,3,2,23,88,0,2,8,20,1,4,2,2,4,8,6,2,2,5,2,19,93,1,2
15,28,8,14,1,2,4,13,7,2,1,5,2,39,120,0,2,11,25,4,12,0,0,1,10,8,1,1,6,2,26,128,1,2
12,28,7,12,5,10,4,13,5,1,2,2,8,36,130,0,2,13,23,5,8,9,13,0,12,6,1,0,3,6,40,132,1,2
10,19,2,9,14,16,2,13,4,1,3,5,6,36,128,2,2,7,22,1,3,4,6,2,8,3,1,0,7,11,19,94,0,3
9,24,3,9,0,0,2,13,6,1,3,3,4,21,77,0,2,7,22,0,4,5,6,2,12,5,2,0,2,1,19,87,2,2
8,26,0,5,2,2,2,8,0,0,1,2,2,18,93,2,3,14,24,8,13,0,0,1,12,13,2,2,1,6,36,114,2,3
14,24,2,8,3,5,3,10,5,5,2,0,4,33,107,3,3,8,20,3,6,1,1,2,9,3,0,0,5,5,20,91,0,3
11,22,4,8,5,8,1,9,8,2,2,1,7,31,111,2,2,8,22,3,7,7,7,3,10,6,1,2,3,5,26,101,1,3
12,22,2,7,0,1,1,10,4,0,5,3,6,26,112,1,2,12,27,2,3,5,6,3,9,6,2,0,0,1,31,108,1,3
10,25,0,9,8,9,5,10,1,3,1,1,5,28,107,0,2,7,22,2,8,3,3,4,9,3,0,0,5,6,19,111,2,3
9,20,2,4,4,5,1,8,7,1,1,5,4,24,113,2,3,7,21,4,9,8,8,5,9,6,4,1,4,3,26,110,2,3
7,20,0,8,3,7,6,11,5,0,0,6,3,17,96,1,2,7,22,3,9,1,1,2,7,4,2,1,2,6,18,79,1,3
8,20,3,10,2,4,3,12,6,3,1,6,5,21,96,2,3,6,22,0,7,2,2,2,10,1,5,1,4,5,14,87,1,2
9,20,5,9,0,0,1,10,6,3,0,6,6,23,130,2,2,6,16,1,6,5,6,0,10,5,5,0,6,6,18,88,0,3
7,19,2,8,3,4,2,9,5,2,1,6,7,19,116,2,3,7,22,1,6,10,10,4,10,4,2,0,4,3,25,104,1,3
11,24,0,3,1,1,2,6,5,3,3,3,4,23,113,1,3,12,21,3,6,1,2,1,9,5,1,0,4,3,28,115,2,3
8,26,1,7,5,6,3,7,4,3,0,3,6,22,112,1,3,14,22,1,6,5,5,1,14,5,3,1,5,6,34,119,1,3
9,24,2,10,2,4,3,9,4,0,2,2,3,22,86,2,4,11,25,3,7,6,6,4,12,7,1,0,1,3,31,97,1,4
11,22,4,9,0,2,3,7,7,5,2,5,4,26,104,2,3,8,20,3,4,4,4,3,8,3,2,0,5,2,23,93,1,4
10,18,2,6,4,7,1,8,10,2,1,5,8,26,90,3,4,9,18,0,1,6,6,0,8,6,1,0,3,6,24,98,3,3
8,25,1,8,1,1,2,9,3,3,0,2,6,18,103,3,4,10,22,3,6,2,9,4,15,7,0,1,5,4,25,94,1,3
8,20,1,3,7,11,3,5,3,4,0,5,7,24,103,0,4,13,20,4,11,10,12,3,10,11,3,1,4,7,40,133,2,4
8,21,1,3,4,7,4,12,3,0,4,6,4,21,101,3,3,10,25,3,10,0,0,2,6,6,3,1,0,7,23,97,2,3
13,23,2,6,1,2,2,9,11,1,1,2,2,29,104,1,3,11,24,5,12,2,2,3,6,9,0,0,2,3,29,109,3,3
14,20,4,7,4,4,1,12,9,2,1,5,3,36,117,1,4,8,23,1,4,0,0,1,4,4,4,0,4,4,17,115,1,4
10,21,4,8,4,4,0,8,6,0,1,2,3,28,119,3,4,15,27,5,11,3,3,2,11,10,1,2,1,4,38,112,0,3
9,20,1,5,11,12,3,13,3,2,0,7,3,30,125,3,4,11,23,5,9,3,5,1,6,6,4,0,5,10,30,121,2,4
11,19,2,6,6,6,2,10,6,3,3,3,6,30,110,2,4,8,23,0,4,1,4,5,6,5,2,1,5,3,17,89,0,3
8,21,0,5,4,7,2,4,4,1,0,4,3,20,107,2,4,15,22,2,4,1,2,1,12,9,2,1,4,6,33,130,2,4
10,26,2,6,7,8,8,12,4,3,3,4,5,29,103,3,4,6,18,1,6,6,7,1,9,3,1,2,7,7,19,93,1,4
10,25,3,7,4,8,5,8,5,4,1,2,3,27,102,3,3,9,21,2,9,0,0,3,11,3,0,2,6,8,20,84,2,4
11,23,4,8,1,2,3,8,4,2,0,2,5,27,110,2,4,9,20,2,6,3,5,1,10,2,0,0,4,4,23,93,1,4
10,24,2,7,1,1,3,9,5,1,1,4,6,23,122,3,5,10,23,2,5,4,5,0,11,5,3,1,3,2,26,101,2,5
13,26,5,12,2,5,3,7,8,4,3,1,5,33,104,1,5,11,21,3,7,6,7,2,12,6,0,2,4,4,31,105,4,5
10,25,3,13,3,3,0,8,3,2,1,2,4,26,112,3,5,9,22,2,7,3,4,2,14,4,1,1,7,3,23,107,3,5
12,21,3,7,3,3,0,5,5,0,1,0,4,30,100,2,4,13,22,1,5,3,4,3,8,5,0,1,2,4,30,117,4,4
11,21,2,5,6,7,2,11,8,2,2,5,6,30,114,2,4,9,24,4,6,5,6,2,7,4,3,1,3,6,27,96,2,5
10,20,2,7,10,15,2,9,4,4,1,1,4,32,103,1,5,7,20,2,6,2,4,3,8,3,1,0,6,9,18,94,3,4
10,25,2,6,1,2,5,12,4,4,2,5,5,23,97,2,5,6,20,0,6,1,2,1,11,2,2,3,7,2,13,88,2,5
11,23,2,7,5,6,5,8,7,3,0,4,5,29,117,3,5,10,21,1,10,5,6,3,5,7,4,3,5,4,26,112,2,4
11,21,0,3,1,2,3,12,6,3,1,3,6,23,102,2,4,7,18,1,4,3,5,0,6,4,2,1,3,2,18,99,3,4
7,17,1,5,3,3,2,12,3,1,0,5,4,18,91,1,4,8,22,4,8,0,0,2,6,6,4,1,2,2,20,86,1,5
11,24,4,10,2,2,3,11,8,1,0,3,3,28,96,4,5,6,23,0,7,2,2,3,11,3,0,2,4,4,14,91,1,6
10,24,1,6,2,2,2,6,3,0,1,3,5,23,89,3,5,8,17,2,5,10,10,1,11,5,2,1,7,3,28,96,3,5
8,28,3,9,5,6,8,5,4,1,0,2,6,24,103,3,5,10,20,4,11,6,8,3,10,4,1,2,2,5,30,104,4,4
17,25,3,5,3,3,3,9,12,2,3,2,1,40,106,1,5,12,27,3,9,0,0,4,5,7,1,3,5,2,27,114,2,5
11,26,6,10,2,6,5,9,7,5,2,4,3,30,93,2,5,9,24,5,14,4,4,3,12,6,4,3,6,5,27,109,5,6
14,21,4,7,0,3,2,13,10,0,4,3,3,32,114,4,5,7,23,1,5,3,3,1,7,6,3,0,3,2,18,87,4,5
7,17,5,8,4,4,1,10,7,0,1,5,3,23,100,1,6,12,30,2,8,0,0,6,6,6,2,1,0,5,26,105,2,5
9,26,2,8,3,3,5,8,4,2,1,1,3,23,107,1,4,10,19,5,9,3,4,1,12,6,0,1,3,3,28,86,3,6
10,23,1,6,5,6,4,6,7,1,1,5,6,26,119,3,6,12,22,3,8,6,6,3,6,6,5,3,3,5,33,116,2,5
12,26,1,9,2,2,3,10,8,1,3,7,2,27,120,4,6,14,26,5,9,1,2,1,8,10,4,2,4,4,34,117,3,5
12,22,0,5,2,2,2,12,8,2,1,4,3,26,92,2,5,8,21,1,9,2,4,1,8,7,2,0,3,2,19,101,3,5
14,23,4,7,3,3,0,10,12,2,2,2,6,35,123,3,6,7,20,3,7,5,5,2,8,3,1,0,5,4,22,101,3,6
8,21,6,11,1,2,2,7,8,3,2,3,5,23,69,1,5,10,22,4,6,2,2,4,9,7,3,1,4,2,26,101,3,6
11,19,5,8,3,4,0,6,7,1,1,1,3,30,103,5,6,12,20,5,11,3,4,2,6,9,1,1,2,5,32,89,5,7
11,23,4,8,0,0,5,9,8,2,1,5,5,26,90,2,5,9,21,2,6,1,1,2,6,3,2,0,3,3,21,96,4,6
9,19,5,12,0,0,1,7,7,1,0,5,4,23,110,1,7,12,19,5,9,3,4,1,8,7,3,1,3,5,32,112,2,6
12,23,5,11,2,2,2,12,7,2,2,2,2,31,96,3,6,7,22,1,7,1,1,3,7,2,2,2,4,4,16,81,2,6
11,21,4,6,3,5,3,10,6,1,5,3,5,29,114,4,6,10,26,1,7,3,3,5,8,6,2,2,2,3,24,107,2,6
7,23,3,9,7,10,5,10,6,1,1,4,2,24,87,4,5,12,22,2,5,1,2,0,10,6,2,0,3,7,27,95,4,6
7,23,2,9,0,0,1,8,6,2,2,6,4,16,106,1,7,11,24,4,9,2,4,2,13,6,4,0,2,4,28,117,4,6
10,19,3,6,3,6,1,11,6,2,1,4,6,26,97,3,6,9,22,3,4,3,4,2,8,4,4,1,5,3,24,94,4,6
15,25,5,8,1,5,4,13,11,1,3,5,3,36,111,3,7,13,27,2,3,1,2,1,7,5,3,1,1,5,29,124,3,6
12,27,2,6,1,2,4,15,7,2,2,5,4,27,120,3,6,10,27,1,8,3,4,3,10,5,4,0,3,3,24,113,4,6
7,22,1,5,1,2,3,6,2,1,0,4,3,16,83,1,6,13,22,6,8,3,4,3,12,8,3,0,3,3,35,110,4,6
7,20,3,9,2,3,3,9,5,1,3,5,4,19,95,3,7,13,27,3,9,0,0,3,11,7,3,0,2,3,29,114,2,5
15,24,4,6,1,1,4,10,10,0,3,4,2,35,107,4,7,11,27,4,9,1,1,5,4,4,3,0,1,1,27,115,5,7
12,24,1,5,5,5,3,10,7,2,3,1,6,30,108,5,7,10,21,3,6,3,7,2,8,7,0,2,2,3,26,94,4,7
14,24,1,5,3,6,4,10,2,2,2,2,3,32,122,2,6,9,22,3,4,2,2,3,8,4,0,0,5,5,23,125,4,7
13,20,6,8,3,4,2,11,11,2,1,4,4,35,116,3,6,9,22,5,9,2,3,2,5,5,3,1,3,3,25,110,3,7
8,17,2,8,9,12,0,7,4,2,0,5,8,27,107,5,8,15,23,2,6,5,7,0,10,11,3,0,3,9,37,115,3,7
11,25,2,10,7,7,2,8,5,2,1,1,4,31,99,5,7,11,22,1,2,8,9,1,10,3,1,3,2,4,31,104,4,7
10,22,0,4,4,4,3,6,9,2,5,7,7,24,99,3,7,11,22,4,6,7,8,2,9,6,3,0,4,5,33,115,5,7
8,22,3,11,2,2,2,4,7,4,1,1,3,21,104,4,7,10,18,5,7,2,2,3,10,6,0,0,6,3,27,89,1,8
12,23,4,7,1,2,2,7,6,3,1,4,4,29,85,4,7,11,20,2,4,5,7,2,8,6,3,2,4,3,29,99,4,6
11,25,3,8,3,5,3,5,6,2,1,1,7,28,113,4,6,12,20,3,7,7,9,4,9,8,1,1,3,6,34,141,5,8
9,19,0,2,6,8,2,13,5,2,1,3,4,24,101,4,7,6,20,0,3,1,4,2,10,3,2,0,4,4,13,83,1,7
10,24,2,4,2,4,1,10,3,3,0,4,3,24,114,3,8,12,23,4,8,2,2,0,13,7,3,1,4,4,30,122,3,7
8,20,1,6,6,6,1,8,5,1,0,4,6,23,91,4,7,12,24,2,6,5,7,4,9,2,2,0,2,4,31,110,4,7
11,23,3,8,0,0,4,10,8,4,1,4,4,25,113,3,7,10,26,2,8,0,0,6,8,4,1,0,4,0,22,93,5,8
10,21,2,5,3,5,1,9,6,0,1,2,3,25,126,5,8,13,24,4,8,2,2,1,10,7,1,1,2,5,32,121,4,8
13,26,2,9,0,1,5,10,7,0,0,5,3,28,107,3,8,12,21,3,7,3,4,0,9,9,3,1,3,7,30,124,5,8
14,24,6,7,0,2,2,10,12,4,0,3,4,34,119,4,8,11,24,2,5,1,2,3,8,5,2,3,4,4,25,109,1,8
11,21,2,6,8,8,3,13,5,1,2,1,5,32,116,4,7,5,22,0,8,5,6,4,7,0,0,0,2,6,15,122,4,8
9,18,3,8,6,7,2,10,7,1,0,6,3,27,113,6,8,11,22,2,6,0,0,2,6,9,4,0,2,5,24,86,1,8
10,21,5,11,2,2,1,13,8,1,0,2,3,27,97,3,7,7,22,1,7,2,3,1,10,5,2,0,1,3,17,91,1,6
11,22,3,9,1,1,2,7,7,2,0,3,4,26,99,5,8,9,20,3,8,2,3,2,7,5,2,0,5,4,23,101,6,8
10,19,2,5,6,6,1,9,6,4,1,7,5,28,98,3,8,13,25,3,10,2,4,3,8,6,4,0,7,5,31,104,5,8
11,21,2,5,3,3,0,12,6,3,1,5,4,27,97,3,7,8,23,5,14,3,4,1,10,6,2,0,5,3,24,119,6,9
13,21,4,7,4,5,1,10,9,1,2,3,2,34,129,4,8,9,22,1,5,0,0,1,5,3,3,1,3,5,19,111,4,7
8,22,5,10,1,1,1,12,6,2,2,4,3,22,112,5,8,8,23,1,7,3,4,2,12,4,3,2,3,1,20,103,4,8
11,20,3,8,7,8,2,9,3,1,2,4,4,32,119,5,7,11,22,4,7,3,5,2,6,7,2,0,3,6,29,98,1,9
13,27,6,13,1,1,4,11,6,2,5,4,3,33,92,4,8,9,22,4,8,2,4,1,8,7,4,2,4,3,24,112,6,9
15,21,6,7,5,6,2,11,11,1,2,2,4,41,113,5,9,11,25,0,5,3,4,2,4,3,2,1,2,4,25,110,3,8
10,21,4,9,4,4,2,7,5,2,0,3,3,28,105,6,9,12,22,2,6,0,0,3,7,10,0,3,2,3,26,96,4,9
12,23,2,5,0,0,0,10,7,1,0,2,2,26,83,6,9,11,25,3,8,3,3,3,9,6,0,0,3,2,28,105,2,7
13,31,3,12,1,1,6,12,10,4,4,5,2,30,121,5,9,13,30,0,4,2,2,2,11,7,3,1,4,1,28,110,5,9
14,21,4,6,4,7,2,5,9,1,0,5,2,36,122,4,8,17,22,4,5,4,4,0,5,7,5,1,2,5,42,130,4,9
11,20,0,5,3,6,1,9,2,2,1,4,4,25,104,1,9,12,22,7,12,5,6,2,10,6,1,2,3,4,36,119,7,10
14,24,2,6,2,2,2,14,7,0,1,2,5,32,120,4,8,5,27,1,6,8,8,6,6,1,1,1,1,4,19,107,4,9
10,22,4,8,1,3,2,10,6,1,0,5,6,25,94,1,10,11,21,0,6,6,8,2,10,9,3,1,2,4,28,99,4,9
11,22,1,6,2,3,3,13,9,0,2,3,4,25,108,5,9,7,22,3,5,2,6,3,7,4,1,1,1,2,19,101,5,9
13,20,1,4,1,1,4,2,7,3,0,6,3,28,95,5,9,15,19,7,10,0,0,1,3,11,2,2,4,4,37,94,3,8
8,21,1,4,9,10,5,9,3,0,2,4,6,26,100,5,9,12,21,3,7,2,2,0,9,7,2,2,3,6,29,109,5,8
12,23,4,8,3,3,5,9,8,1,1,4,3,31,94,4,8,6,20,2,7,4,8,3,7,3,2,1,3,3,18,101,7,9
13,27,1,6,3,4,1,12,5,4,3,3,5,30,124,4,9,11,22,3,9,4,8,1,10,9,2,3,5,4,29,112,3,9
8,20,3,8,6,10,6,8,3,1,3,5,3,25,104,5,8,11,25,3,7,2,2,4,7,5,2,2,2,5,27,113,6,9
11,21,5,7,2,4,1,5,10,4,0,3,4,29,108,7,10,11,18,2,5,2,2,0,9,6,1,0,5,5,26,99,1,9
8,20,1,8,2,4,2,11,7,3,1,3,0,19,90,2,8,8,22,1,6,0,0,1,12,5,2,1,3,3,17,96,5,10
11,23,1,6,4,4,4,11,8,1,0,3,3,27,112,6,9,8,22,1,3,1,1,2,7,4,1,2,3,5,18,99,1,11
10,21,3,7,0,0,0,8,5,4,1,6,3,23,108,5,10,16,27,4,9,0,1,4,9,12,4,1,4,2,36,127,7,10
8,23,1,6,11,12,6,3,4,3,1,3,6,28,115,4,10,13,18,6,8,5,6,2,7,12,1,2,5,7,37,117,2,10
6,22,0,5,8,8,7,8,1,0,1,5,5,20,101,5,9,13,26,5,10,3,3,4,4,6,4,0,0,7,34,104,4,9
