fg,fga,fg3,fg3a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts,finalpoints,wins,gp,oppfg,oppfga,oppfg3,oppfg3a,oppft,oppfta,opporb,oppdrb,oppast,oppstl,oppblk,opptov,opppf,opppts,oppfinalpoints,oppwins,oppgp
8,24,0,6,4,6,5,7,4,1,1,4,6,20,106,18,33,11,22,4,11,6,7,1,10,4,2,2,2,3,32,101,21,33
10,22,2,6,7,8,3,10,6,2,3,5,3,29,101,10,33,13,28,5,8,0,0,4,6,5,5,1,3,6,31,122,15,34
11,25,0,2,3,6,2,11,8,0,1,2,4,25,117,10,34,9,25,5,12,4,6,4,11,6,1,1,1,4,27,93,14,35
9,24,0,6,1,2,2,9,5,2,2,4,5,19,106,31,36,8,20,1,9,6,7,2,14,4,2,2,4,4,23,104,12,33
19,27,2,8,3,4,3,9,12,5,3,2,5,43,117,27,34,6,23,0,5,5,6,6,2,5,0,1,6,6,17,107,13,34
10,19,6,11,3,4,2,8,8,1,2,5,3,29,106,10,34,12,26,3,8,4,4,5,7,8,2,0,2,2,31,109,14,37
15,21,4,7,3,5,1,7,13,3,1,1,4,37,116,22,35,10,20,2,9,5,5,3,6,7,1,0,4,4,27,124,24,34
7,22,2,8,2,3,4,13,5,1,1,5,2,18,84,25,34,7,21,1,11,5,6,0,10,4,2,1,1,3,20,76,23,35
8,21,3,9,3,4,2,12,5,0,0,3,4,22,98,13,35,9,23,3,11,4,6,4,10,4,3,1,2,4,25,102,22,34
13,26,4,9,4,5,3,10,7,3,3,2,3,34,99,13,34,9,23,1,7,0,0,3,8,7,2,1,4,4,19,84,9,36
11,24,4,11,5,6,4,6,8,1,2,2,5,31,123,22,34,10,20,5,10,5,6,4,9,9,1,0,5,3,30,111,16,33
10,21,4,10,3,3,1,7,6,0,3,3,5,27,103,14,33,11,21,2,7,3,4,1,9,5,2,1,3,4,27,109,19,34
10,23,4,12,2,2,0,7,5,1,3,2,7,26,128,13,35,14,24,6,11,8,8,2,11,11,0,0,2,3,42,123,13,35
11,21,1,6,7,7,1,11,8,0,6,4,6,30,126,25,36,11,26,2,8,9,11,4,8,4,3,0,1,6,33,112,12,35
8,26,1,7,2,5,5,7,4,2,0,2,5,19,109,24,32,11,21,6,14,4,4,1,12,10,1,1,3,7,32,106,7,35
10,22,4,9,3,3,2,11,8,0,0,4,3,27,105,16,35,9,24,1,10,3,3,2,8,5,3,0,1,4,22,85,25,35
12,22,3,9,4,4,3,7,4,2,0,4,3,31,103,10,34,13,24,0,3,1,1,3,6,5,2,1,3,4,27,122,15,36
8,26,2,9,2,2,3,12,3,1,1,2,7,20,118,24,35,11,24,2,6,3,6,1,13,8,0,3,1,2,27,108,23,37
10,23,0,5,9,10,3,8,5,0,1,1,5,29,120,14,35,15,25,3,8,4,7,3,11,6,1,0,3,8,37,112,10,35
14,23,6,9,8,10,2,10,11,4,2,3,5,42,123,28,35,12,27,4,10,2,2,2,4,8,1,3,4,6,30,113,11,35
11,24,0,6,5,7,4,7,4,1,1,3,4,27,114,25,37,15,26,7,13,3,4,4,10,11,2,1,2,6,40,140,14,36
11,18,6,10,5,6,3,10,10,0,3,8,5,33,102,16,34,9,25,1,8,5,8,4,5,5,2,1,0,4,24,121,24,36
10,23,0,8,5,5,1,10,5,1,1,0,4,25,96,16,36,13,25,4,9,3,5,4,11,6,0,1,2,3,33,109,23,35
15,21,6,9,7,8,1,10,8,3,0,0,7,43,116,8,36,8,19,2,8,8,9,1,5,5,0,0,3,6,26,111,22,36
12,26,3,6,0,0,3,8,6,0,0,2,7,27,106,10,35,13,24,2,8,6,6,2,9,7,2,2,1,1,34,121,20,35
9,23,6,11,4,4,4,6,7,4,2,5,4,28,104,13,36,12,20,1,5,5,5,2,6,6,4,2,5,3,30,111,25,33
11,24,2,3,7,7,5,13,7,0,3,5,6,31,128,11,35,6,24,1,11,6,6,1,7,4,2,0,2,5,19,114,24,35
8,18,0,7,4,5,1,6,4,0,1,4,3,20,120,22,35,13,23,3,6,3,3,2,10,8,2,0,2,6,32,123,15,38
8,21,2,4,5,6,5,6,6,3,0,5,3,23,104,9,37,10,18,4,9,1,1,2,8,7,5,1,9,7,25,111,13,36
11,23,4,10,3,4,1,10,9,2,2,1,3,29,127,32,37,10,23,6,12,5,5,2,10,4,1,0,3,2,31,118,14,34
10,23,3,5,3,6,4,12,3,4,0,6,2,26,115,13,36,10,24,4,11,1,2,1,10,8,5,2,5,4,25,117,12,36
11,22,2,6,5,5,3,3,6,1,0,4,3,29,135,26,38,19,25,5,7,2,4,1,7,8,2,1,3,6,45,132,10,36
12,21,6,13,1,1,1,11,9,0,3,2,3,31,122,26,36,8,25,1,8,2,2,4,7,3,1,1,1,2,19,111,15,37
9,23,0,4,2,2,3,11,2,0,1,4,5,20,103,10,36,10,23,3,11,1,2,2,10,6,2,2,3,3,24,118,14,35
